Model,rxy_track,rxy_gen,rxy_u10,rxy_slp,rxy_ace,rxy_pace
OBS,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002
2:1_1800_3600,0.9064466123108269,0.7221247738335095,0.7333277683118042,0.4704716368276552,0.8523715950626559,0.8039370471370966
4:1_900_3600,0.9120543788027172,0.6332670876646077,0.750108930289124,0.6776882584311668,0.9416793827856124,0.9166330641165469
8:1_450_3600,0.827287089962081,0.5596088287801413,0.7603547423336485,0.5941218481880092,0.8655935100305732,0.8393859338447812
2:1_450_900,0.8737510521927607,0.623904046806062,0.4639984855682031,0.34335679018282705,0.8114027715297301,0.7902951615537438
8:1_450_dmpdz2,0.8658698147421963,0.5431367165813131,0.6850790974654996,0.5478088467629625,0.8310287470031915,0.7971814747520127
