Model,rxy_track,rxy_gen,rxy_u10,rxy_slp,rxy_ace,rxy_pace
dtime900,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999999998,1.0,1.0
dtime1800,0.9602246237058255,0.9527372698763904,0.8641104006892028,0.827895028818131,0.9383127116655728,0.9100324468019714
dtime450,0.9880096429295039,0.9780506114085739,0.8565150878874986,0.8024978267670764,0.9491191678829303,0.9329357072909088
tau3600_lowdmpdz2,0.9416054725213927,0.9427189841306447,0.8418078630236073,0.8281724002115204,0.9328410412382673,0.9167471470686404
tau900,0.722199108995357,0.6656775842588792,0.7416146200530329,0.7403952770730682,0.860736590048961,0.8507043164552832
