Model,rs_count,rs_tcd,rs_ace,rs_pace,rs_lmi
OBS,1.0,1.0,1.0,1.0,1.0
2:1_1800_3600,0.8590162306186172,0.8186349431603627,0.7901606842678284,0.726093601759626,-0.261904761904762
4:1_900_3600,0.8625880236773226,0.864905613860731,0.9218541316457997,0.900498437476399,-0.4761904761904762
8:1_450_3600,0.8913803121678293,0.8969391551148322,0.8898205903916986,0.8755834609454314,-0.11904761904761905
2:1_450_900,0.7804367833271013,0.882702025668565,0.8506684844144637,0.8221942255219294,-0.3571428571428572
8:1_450_dmpdz2,0.6417938247608371,0.864905613860731,0.8862613080301318,0.7688049900984276,-0.09523809523809526
