Model,uclim_count,uclim_tcd,uclim_ace,uclim_pace,uclim_lmi
dtime900,42.68181818181818,84.55681818181819,61.43596812618109,53.60299839456467,15.87912073893951
dtime1800,22.5,46.93181818181818,32.66814921930126,33.167496530064454,18.355169797988452
dtime450,66.04545454545455,135.39772727272728,93.40975090546362,78.19888896409185,15.272694936495792
tau3600_lowdmpdz2,15.318181818181818,29.03409090909091,23.34961979677971,20.731263712290083,16.554005992533195
tau900,5.7727272727272725,13.761363636363637,14.499691978462145,12.97705961373336,23.286708496529922
