Model,utc_tcd,utc_ace,utc_pace,utc_latgen,utc_lmi
dtime900,1.9810969116080936,1.439394354394019,1.2558742967842627,13.021831735889243,15.908413205537807
dtime1800,2.085858585858586,1.451917743080056,1.4741109568917534,14.091414141414141,18.294444444444444
dtime450,2.05006882312457,1.4143252029732964,1.1840162128079978,12.673262216104611,15.310564349621473
tau3600_lowdmpdz2,1.8954005934718101,1.5243075238253816,1.3533762660842192,14.373887240356083,16.504451038575667
tau900,2.3838582677165356,2.5117576655603715,2.24799457875696,18.87795275590551,23.070866141732285
