Model,rp_count,rp_tcd,rp_ace,rp_pace,rp_lmi
OBS,1.0,1.0,1.0,1.0,1.0
2:1_1800_3600,0.9352541539164265,0.9775676766077851,0.9562816074716822,0.9432865711554735,-0.24737064803715642
4:1_900_3600,0.9664107331555322,0.9857279967910428,0.988607134917911,0.9808660389591366,-0.4623977878470235
8:1_450_3600,0.9592857837389615,0.9718456431252717,0.9694199676838918,0.9738796288354817,-0.08357278997241632
2:1_450_900,0.8893893319188293,0.9369167754533939,0.9522231564189065,0.9481655501701993,-0.3918183061246124
8:1_450_dmpdz2,0.8705888960338121,0.9108878066439906,0.8834346908709676,0.8757978591633913,-0.30181737723380314
