Model,utc_tcd,utc_ace,utc_pace,utc_latgen,utc_lmi
OBS,5.811111111111111,9.906463072913098,9.708199448614414,21.392592592592592,26.322592592592596
2:1_1800_3600,6.22008547008547,5.877668176012898,8.322369111149458,22.924258589743587,29.948248782051284
4:1_900_3600,6.409322033898305,7.220691107757205,9.503980551325306,22.934371837288136,29.584364020338985
8:1_450_3600,6.441724941724941,6.780650120140866,9.094718404724949,20.80539212121212,26.961324743589746
2:1_450_900,6.0319548872180455,4.9043010924506145,7.9020798765538895,26.522229661654137,32.81676248120301
8:1_450_dmpdz2,6.381889763779528,6.325358428815409,9.740550638479585,25.83689098425197,31.411670976377952
