Model,rp_count,rp_tcd,rp_ace,rp_pace,rp_lmi
dtime900,1.0,1.0,0.9999999999999999,1.0,1.0
dtime1800,0.9782406832135232,0.9896499643275166,0.9704775499955988,0.9610245677094579,0.9742222816528187
dtime450,0.9965650251752068,0.992614625367112,0.9386884430990738,0.9364195817819531,0.9163375161949169
tau3600_lowdmpdz2,0.9777153638604272,0.9883579995221023,0.9496952785357043,0.9431308123714217,0.7500209246133466
tau900,0.9065176484859178,0.9069815627810247,0.9431611193864211,0.9598085688141443,0.3560781187130899
